CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 0,-113,-63,415,313
MAG_DATA: 1,-110,-56,412,362
MAG_DATA: 2,-118,-66,400,412
MAG_DATA: 3,-112,-60,404,462
MAG_DATA: 4,-113,-55,399,512
MAG_DATA: 5,-108,-54,402,562
MAG_DATA: 6,-120,-62,404,612
MAG_DATA: 7,-117,-59,399,662
MAG_DATA: 8,-118,-60,398,712
MAG_DATA: 9,-115,-57,405,762
MAG_DATA: 10,-118,-62,398,812
MAG_DATA: 11,-117,-55,403,862
MAG_DATA: 12,-119,-57,407,912
MAG_DATA: 13,-107,-57,407,962
MAG_DATA: 14,-119,-59,397,1012
MAG_DATA: 15,-117,-59,395,1062
MAG_DATA: 16,-124,-66,404,1112
MAG_DATA: 17,-118,-64,396,1162
MAG_DATA: 18,-132,-82,406,1212
MAG_DATA: 19,-140,-66,404,1262
MAG_DATA: 20,-138,-76,396,1312
MAG_DATA: 21,-145,-71,397,1362
MAG_DATA: 22,-150,-68,400,1412
MAG_DATA: 23,-154,-72,398,1462
MAG_DATA: 24,-157,-75,401,1512
MAG_DATA: 25,-164,-66,404,1562
MAG_DATA: 26,-172,-68,398,1612
MAG_DATA: 27,-163,-65,407,1662
MAG_DATA: 28,-170,-68,394,1712
MAG_DATA: 29,-177,-63,401,1762
MAG_DATA: 30,-184,-62,398,1812
MAG_DATA: 31,-184,-60,402,1862
MAG_DATA: 32,-188,-52,398,1912
MAG_DATA: 33,-197,-57,403,1962
MAG_DATA: 34,-192,-56,402,2012
MAG_DATA: 35,-187,-53,393,2062
MAG_DATA: 36,-199,-55,393,2112
MAG_DATA: 37,-201,-51,397,2162
MAG_DATA: 38,-206,-50,400,2212
MAG_DATA: 39,-205,-53,393,2262
MAG_DATA: 40,-210,-46,400,2312
MAG_DATA: 41,-207,-49,395,2362
MAG_DATA: 42,-216,-36,394,2412
MAG_DATA: 43,-218,-46,398,2462
MAG_DATA: 44,-220,-36,394,2512
MAG_DATA: 45,-231,-41,393,2562
MAG_DATA: 46,-230,-30,392,2612
MAG_DATA: 47,-232,-38,394,2662
MAG_DATA: 48,-237,-33,391,2712
MAG_DATA: 49,-241,-33,397,2762
MAG_DATA: 50,-232,-28,384,2812
MAG_DATA: 51,-245,-25,393,2862
MAG_DATA: 52,-254,-24,388,2912
MAG_DATA: 53,-255,-19,381,2962
MAG_DATA: 54,-253,-15,381,3012
MAG_DATA: 55,-263,-11,385,3062
MAG_DATA: 56,-266,-10,382,3112
MAG_DATA: 57,-257,-7,381,3162
MAG_DATA: 58,-270,4,382,3212
MAG_DATA: 59,-269,1,377,3262
MAG_DATA: 60,-268,14,376,3312
MAG_DATA: 61,-279,17,383,3362
MAG_DATA: 62,-280,28,380,3412
MAG_DATA: 63,-273,35,375,3462
MAG_DATA: 64,-281,35,379,3512
MAG_DATA: 65,-278,40,372,3562
MAG_DATA: 66,-271,39,373,3612
MAG_DATA: 67,-284,40,372,3662
MAG_DATA: 68,-286,48,374,3712
MAG_DATA: 69,-279,47,381,3762
MAG_DATA: 70,-273,53,373,3812
MAG_DATA: 71,-270,50,378,3862
MAG_DATA: 72,-271,61,377,3912
MAG_DATA: 73,-268,54,378,3962
MAG_DATA: 74,-266,56,376,4012
MAG_DATA: 75,-272,60,386,4062
MAG_DATA: 76,-270,56,386,4112
MAG_DATA: 77,-260,60,378,4162
MAG_DATA: 78,-272,64,378,4212
MAG_DATA: 79,-272,62,382,4262
MAG_DATA: 80,-260,66,384,4312
MAG_DATA: 81,-270,68,382,4362
MAG_DATA: 82,-271,67,389,4412
MAG_DATA: 83,-264,70,384,4462
MAG_DATA: 84,-272,74,382,4512
MAG_DATA: 85,-258,78,392,4562
MAG_DATA: 86,-265,85,381,4612
MAG_DATA: 87,-266,84,376,4662
MAG_DATA: 88,-274,86,376,4712
MAG_DATA: 89,-276,98,382,4762
MAG_DATA: 90,-276,102,374,4812
MAG_DATA: 91,-267,103,373,4862
MAG_DATA: 92,-272,112,366,4912
MAG_DATA: 93,-275,113,361,4962
MAG_DATA: 94,-272,108,368,5012
MAG_DATA: 95,-269,111,367,5062
MAG_DATA: 96,-270,122,380,5112
MAG_DATA: 97,-270,114,376,5162
MAG_DATA: 98,-256,120,380,5212
MAG_DATA: 99,-252,116,384,5262
INFO: Logged 100 samples
MAG_DATA: 100,-244,130,380,5312
MAG_DATA: 101,-244,126,384,5362
MAG_DATA: 102,-243,139,373,5412
MAG_DATA: 103,-239,141,375,5462
MAG_DATA: 104,-244,152,380,5512
MAG_DATA: 105,-239,153,371,5562
