CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 27,7,-11,357,1662
MAG_DATA: 28,14,-20,356,1712
MAG_DATA: 29,17,-25,351,1762
MAG_DATA: 30,13,-15,343,1812
MAG_DATA: 31,15,-23,339,1862
MAG_DATA: 32,22,-4,348,1912
MAG_DATA: 33,17,-11,347,1962
MAG_DATA: 34,28,4,346,2012
MAG_DATA: 35,23,13,347,2062
MAG_DATA: 36,29,19,359,2112
MAG_DATA: 37,24,34,354,2162
MAG_DATA: 38,17,27,359,2212
MAG_DATA: 39,16,40,362,2262
MAG_DATA: 40,6,48,360,2312
MAG_DATA: 41,14,52,366,2362
MAG_DATA: 42,1,53,365,2412
MAG_DATA: 43,-8,56,372,2462
MAG_DATA: 44,-4,74,378,2512
MAG_DATA: 45,-32,100,386,2562
MAG_DATA: 46,-40,118,384,2612
MAG_DATA: 47,-56,132,386,2662
MAG_DATA: 48,-66,148,384,2712
MAG_DATA: 49,-80,162,382,2762
MAG_DATA: 50,-99,169,381,2812
MAG_DATA: 51,-116,176,388,2862
MAG_DATA: 52,-122,182,386,2912
MAG_DATA: 53,-151,191,375,2962
MAG_DATA: 54,-161,195,383,3012
MAG_DATA: 55,-178,184,380,3062
MAG_DATA: 56,-187,185,385,3112
MAG_DATA: 57,-202,176,376,3162
MAG_DATA: 58,-210,182,380,3212
MAG_DATA: 59,-214,188,372,3262
MAG_DATA: 60,-234,174,368,3312
MAG_DATA: 61,-245,159,373,3362
MAG_DATA: 62,-244,158,366,3412
MAG_DATA: 63,-263,143,357,3462
MAG_DATA: 64,-271,141,357,3512
MAG_DATA: 65,-263,133,357,3562
MAG_DATA: 66,-284,120,366,3612
MAG_DATA: 67,-287,115,353,3662
MAG_DATA: 68,-285,99,355,3712
MAG_DATA: 69,-287,87,365,3762
MAG_DATA: 70,-296,84,354,3812
MAG_DATA: 71,-293,81,355,3862
MAG_DATA: 72,-294,74,360,3912
MAG_DATA: 73,-296,60,364,3962
MAG_DATA: 74,-286,44,360,4012
MAG_DATA: 75,-297,27,363,4062
MAG_DATA: 76,-284,10,362,4112
MAG_DATA: 77,-273,1,369,4162
MAG_DATA: 78,-270,-2,372,4212
MAG_DATA: 79,-259,-9,373,4262
MAG_DATA: 80,-263,-7,379,4312
MAG_DATA: 81,-254,-26,370,4362
MAG_DATA: 82,-247,-25,389,4412
MAG_DATA: 83,-220,-28,386,4462
MAG_DATA: 84,-212,-30,388,4512
MAG_DATA: 85,-200,-38,400,4562
MAG_DATA: 86,-191,-35,395,4612
MAG_DATA: 87,-188,-34,400,4662
MAG_DATA: 88,-174,-34,400,4712
MAG_DATA: 89,-169,-31,407,4762
MAG_DATA: 90,-148,-26,404,4812
MAG_DATA: 91,-138,-14,408,4862
MAG_DATA: 92,-129,-11,407,4912
MAG_DATA: 93,-130,6,406,4962
MAG_DATA: 94,-131,13,425,5012
MAG_DATA: 95,-125,21,415,5062
MAG_DATA: 96,-126,20,418,5112
MAG_DATA: 97,-121,41,415,5162
MAG_DATA: 98,-111,55,407,5212
