CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 0,109,22,183,313
MAG_DATA: 1,109,22,193,362
MAG_DATA: 2,111,22,197,412
MAG_DATA: 3,116,23,188,462
MAG_DATA: 4,121,22,193,512
MAG_DATA: 5,113,22,191,562
MAG_DATA: 6,112,33,196,612
MAG_DATA: 7,116,25,200,662
MAG_DATA: 8,117,32,191,712
MAG_DATA: 9,114,15,186,762
MAG_DATA: 10,111,30,197,812
MAG_DATA: 11,122,17,194,862
MAG_DATA: 12,118,25,194,912
MAG_DATA: 13,125,24,191,962
MAG_DATA: 14,117,30,191,1012
MAG_DATA: 15,116,23,184,1062
MAG_DATA: 16,117,24,195,1112
MAG_DATA: 17,113,22,199,1162
MAG_DATA: 18,107,18,193,1212
MAG_DATA: 19,109,22,195,1262
MAG_DATA: 20,113,22,203,1312
MAG_DATA: 21,114,23,190,1362
MAG_DATA: 22,109,28,193,1412
MAG_DATA: 23,117,18,189,1462
MAG_DATA: 24,116,23,194,1512
MAG_DATA: 25,114,23,202,1562
MAG_DATA: 26,109,34,197,1612
MAG_DATA: 27,111,26,195,1662
MAG_DATA: 28,107,40,193,1712
MAG_DATA: 29,110,39,198,1762
MAG_DATA: 30,111,42,193,1812
MAG_DATA: 31,109,40,195,1862
MAG_DATA: 32,114,47,194,1912
MAG_DATA: 33,101,44,193,1962
MAG_DATA: 34,101,54,183,2012
MAG_DATA: 35,105,50,187,2062
MAG_DATA: 36,98,53,188,2112
MAG_DATA: 37,104,57,188,2162
MAG_DATA: 38,95,68,187,2212
MAG_DATA: 39,101,70,187,2262
MAG_DATA: 40,86,67,194,2312
MAG_DATA: 41,89,70,197,2362
MAG_DATA: 42,87,72,187,2412
MAG_DATA: 43,83,78,189,2462
MAG_DATA: 44,76,85,186,2512
MAG_DATA: 45,82,77,190,2562
MAG_DATA: 46,79,82,193,2612
MAG_DATA: 47,69,86,191,2662
MAG_DATA: 48,72,87,192,2712
MAG_DATA: 49,69,92,185,2762
MAG_DATA: 50,72,93,188,2812
